#,Domain,Function,Description,URL/API,Method,Authorization,Header,RequestParam,RequestBody,Respone,Dev,Note,Reference
1.0,http://localhost:8080,getCareLevels,Returns the catalog of 5 standard care levels; supports filtering soft-deleted records.,/api/v1/care-levels,GET,All authenticated roles,Content-Type: application/json,"include_deleted (bool, optional)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""careLevels"": [
      {
        ""id"": 1,
        ""levelCode"": ""MEMORY_CARE"",
        ""levelName"": ""Memory Care"",
        ""isDeleted"": false
      }
    ]
  }
",,"Static catalog, no POST create endpoint exposed",
2.0,http://localhost:8080,getCareLevelById,Returns detail of a single care level by id.,/api/v1/care-levels/{id},GET,All authenticated roles,Content-Type: application/json,"id (path, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""careLevel"": {
      ""id"": 1,
      ""levelCode"": ""MEMORY_CARE"",
      ""levelName"": ""Memory Care"",
      ""isDeleted"": false
    }
  }
}",,,
3.0,http://localhost:8080,updateCareLevelName,Only level_name can be updated; level_code is immutable.,/api/v1/care-levels/{id},PATCH,"System_Administrator, DON",Content-Type: application/json,"id (path, required)","{
  ""levelName"": ""Memory Care Wing""
}","{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""careLevel"": {
      ""id"": 1,
      ""levelName"": ""Memory Care Wing""
    }
  }
}",,level_code is UNIQUE + CHECK constrained to 5 fixed values,
4.0,http://localhost:8080,deleteCareLevel,Sets is_deleted=true; blocked if any ACTIVE resident still references this level.,/api/v1/care-levels/{id},DELETE,System_Administrator,Content-Type: application/json,"id (path, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""isDeleted"": true
  }
}",,"Soft delete only, no hard delete",
5.0,http://localhost:8080,getCareLevelRates,Returns pricing per facility/care level; supports filtering to currently active rates only.,/api/v1/care-level-rates,GET,"Facility_Manager, Accountant/Billing_Staff, System_Administrator",Content-Type: application/json,"facility_id, care_level_id, active_only (query, optional)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""rates"": [
      {
        ""id"": 10,
        ""careLevelId"": 1,
        ""facilityId"": 5,
        ""dailyRate"": 150.0,
        ""effectiveFrom"": ""2026-01-01"",
        ""effectiveTo"": null
      }
    ],
    ""meta"": {
      ""total"": 1
    }
  }
}",,,
6.0,http://localhost:8080,createCareLevelRate,"Creates a new rate for (care_level_id, facility_id); automatically closes the previous active rate's effective_to.",/api/v1/care-level-rates,POST,"Accountant/Billing_Staff, System_Administrator",Content-Type: application/json,(none),"{
  ""careLevelId"": 1,
  ""facilityId"": 5,
  ""dailyRate"": 160.0,
  ""effectiveFrom"": ""2026-07-01""
}","{
  ""statusCode"": 201,
  ""message"": ""Created"",
  ""data"": {
    ""newRate"": {
      ""id"": 11,
      ""careLevelId"": 1,
      ""facilityId"": 5,
      ""dailyRate"": 160.0,
      ""effectiveFrom"": ""2026-07-01"",
      ""effectiveTo"": null
    },
    ""previousRateClosed"": {
      ""id"": 10,
      ""effectiveTo"": ""2026-06-30""
    }
  }
}",,"daily_rate must be > 0; effective_from cannot be in the past (except for Accountant/Billing_Staff, System_Administrator)",
7.0,http://localhost:8080,getCurrentCareLevelRates,Returns all currently active rates (effective_to IS NULL) for a facility.,/api/v1/care-level-rates/current,GET,"Facility_Manager, Accountant/Billing_Staff, Admission_Staff",Content-Type: application/json,"facility_id (query, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""rates"": [
      {
        ""careLevelId"": 1,
        ""facilityId"": 5,
        ""dailyRate"": 150.0
      }
    ]
  }
}",,Used on the pricing/quote screen during intake consultation,
8.0,http://localhost:8080,updateCareLevelRate,Only allows editing daily_rate while effective_from is still in the future.,/api/v1/care-level-rates/{id},PUT,"Accountant/Billing_Staff, System_Administrator",Content-Type: application/json,"id (path, required)","{
  ""dailyRate"": 170.0
}","{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""rate"": {
      ""id"": 12,
      ""dailyRate"": 170.0
    }
  }
}",,An already-active rate must be superseded by a new record instead of edited,
9.0,http://localhost:8080,deleteCareLevelRate,Hard-delete only allowed if effective_from is in the future (never applied).,/api/v1/care-level-rates/{id},DELETE,System_Administrator,Content-Type: application/json,"id (path, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""deleted"": true
  }
}",,,
10.0,http://localhost:8080,getResidents,"List of resident profiles, filterable by status/bed/name search.",/api/v1/residents,GET,"Nurse, CNA, DON, Admission_Staff, Facility_Manager, System_Administrator",Content-Type: application/json,"status, bed_id, search, page, page_size (query, optional)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""residents"": [
      {
        ""id"": 101,
        ""firstName"": ""John"",
        ""lastName"": ""Doe"",
        ""currentCareLevel"": ""MEMORY_CARE""
      }
    ],
    ""meta"": {
      ""total"": 1,
      ""page"": 1,
      ""pageSize"": 10
    }
  }
}",Thịnh,current_care_level is a derived field (joined from resident_care_level_history),SC_017_M1-US-01
11.0,http://localhost:8080,getResidentById,"Returns full demographic info, excluding sensitive info.",/api/v1/residents/{id},GET,"Nurse, CNA, DON, Admission_Staff, Facility_Manager, System_Administrator",Content-Type: application/json,"id (path, required)","{
  ""firstName"": ""John"",
  ""middleName"": ""Robert"",
  ""lastName"": ""Doe"",
  ""dateOfBirth"": ""1945-05-15"",
  ""gender"": ""MALE"",
  ""maritalStatus"": ""MARRIED"",
  ""religionPreference"": ""NONE"",
  ""addressId"": 20
}","{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""resident"": {
      ""id"": 101,
      ""firstName"": ""John"",
      ""middleName"": ""Robert"",
      ""lastName"": ""Doe"",
      ""dateOfBirth"": ""1945-05-15"",
      ""gender"": ""MALE"",
      ""status"": ""ACTIVE""
    }
  }
}",Thịnh,,SC_018_M1-US-02
12.0,http://localhost:8080,createResident,"Creates a new resident, defaulting status=PENDING, is_chart_locked=false.",/api/v1/residents,POST,"Admission_Staff, System_Administrator",Content-Type: application/json,(none),"{
  ""firstName"": ""Susan"",
  ""middleName"": ""Ann"",
  ""lastName"": ""Harris"",
  ""dateOfBirth"": ""1948-11-23"",
  ""gender"": ""FEMALE"",
  ""maritalStatus"": ""WIDOWED"",
  ""religionPreference"": ""CHRISTIANITY"",
  ""addressId"": 45
}","{
  ""statusCode"": 201,
  ""message"": ""Success"",
  ""data"": {
    ""resident"": {
      ""id"": ""a1b2c3d4-..."",
      ""firstName"": ""Susan"",
      ""lastName"": ""Harris"",
      ""status"": ""PENDING""
    }
  }
}",Thịnh,bed_id is not set at creation; must go through the separate assign-bed endpoint,"
SC_019_M1-US-03
"
13.0,http://localhost:8080,updateResident,Updates basic demographic information.,/api/v1/residents/{id},PATCH,"Nurse, CNA (if not locked), Admission_Staff, DON, System_Administrator",Content-Type: application/json,"id (path, required)","{
  ""firstName"": ""Johnny"",
  ""maritalStatus"": ""WIDOWED""
}","{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""resident"": {
      ""id"": 101,
      ""firstName"": ""Johnny""
    }
  }
}",Thịnh,,
